fasId,fasFacility_ID,fasService_ID
455,10371,4
456,10374,5
457,10374,4
458,10375,5
459,10377,5
460,10377,4
461,10378,13
462,10378,5
463,10378,12
464,10378,4
465,10384,5
466,10384,4
467,10385,5
468,10385,4
469,10386,5
470,10386,4
471,10387,5
472,10387,12
473,10387,17
474,10387,4
475,10388,13
476,10388,5
477,10388,17
478,10388,4
479,10389,5
480,10390,5
481,10391,5
482,10394,5
483,10394,12
484,10394,4
485,10395,5
486,10395,12
487,10395,17
488,10395,4
489,10396,5
490,10396,4
491,10397,5
492,10397,4
493,10399,5
494,10399,17
495,10400,5
496,10400,4
497,10402,13
498,10402,5
499,10402,12
500,10402,4
501,10406,5
502,10406,12
503,10406,4
504,10409,5
505,10410,5
506,10410,12
507,10410,4
508,10411,5
509,10412,5
510,10412,4
511,10413,5
512,10413,12
513,10413,4
514,10414,5
515,10414,12
516,10414,4
517,10415,5
518,10415,12
519,10415,4
520,10417,5
521,10417,12
522,10417,4
523,10418,13
524,10418,5
525,10418,12
526,10418,17
527,10418,4
528,10419,5
529,10419,12
530,10419,4
531,10420,4
532,10422,5
533,10423,4
534,10424,5
535,10424,12
536,10424,4
537,10425,5
538,10426,5
539,10426,12
540,10426,17
541,10426,4
542,10427,5
543,10427,12
544,10428,5
545,10429,5
546,10429,12
547,10429,4
548,10430,5
549,10431,5
550,10431,4
551,10433,5
552,10433,12
553,10433,4
554,10434,5
555,10434,4
556,10435,5
557,10436,5
558,10436,4
559,10437,5
560,10437,4
561,10438,13
562,10438,5
563,10438,12
564,10438,17
565,10438,4
566,10440,5
567,10440,12
568,10440,4
569,10441,5
570,10441,12
571,10441,4
572,10443,5
573,10445,5
574,10445,12
575,10445,4
576,10447,5
577,10448,5
578,10448,4
579,10450,5
580,10450,4
581,10452,5
582,10454,5
583,10455,5
584,10456,5
585,10456,4
586,10458,5
587,10458,4
588,10459,13
589,10459,5
590,10459,12
591,10459,4
592,10460,5
593,10460,12
594,10460,4
595,10461,5
596,10461,4
597,10462,5
598,10462,4
599,10465,5
600,10465,12
601,10465,4
602,10466,5
603,10467,5
604,10468,5
605,10468,4
606,10469,5
607,10469,12
608,10469,4
609,10470,5
610,10470,12
611,10470,4
612,10473,5
613,10473,12
614,10473,4
615,10476,13
616,10476,5
617,10476,12
618,10476,4
619,10478,5
620,10479,5
621,10480,5
622,10480,4
623,10482,5
624,10482,4
625,10485,13
626,10485,5
627,10485,12
628,10485,17
629,10485,4
630,10486,5
631,10486,12
632,10487,5
633,10488,5
634,10488,12
635,10488,17
636,10488,4
637,10490,5
638,10490,12
639,10490,4
640,10492,5
641,10494,5
642,10494,4
643,10496,5
644,10496,4
645,10497,5
646,10497,12
647,10497,4
648,10498,5
649,10498,4
650,10499,5
651,10499,12
652,10499,4
653,10500,5
654,10500,12
655,10500,4
656,10504,5
657,10504,4
658,10505,5
659,10505,4
660,10506,5
661,10506,4
662,10509,13
663,10509,5
664,10509,12
665,10509,4
666,10512,5
667,10512,17
668,10512,4
669,10513,5
670,10513,12
671,10513,17
672,10513,4
673,10514,13
674,10514,12
675,10515,12
676,10516,5
677,10518,5
678,10518,12
679,10518,4
680,10519,4
681,10520,13
682,10520,5
683,10520,12
684,10520,17
685,10520,4
686,10522,4
687,10523,5
688,10523,4
689,10526,5
690,10526,4
691,10527,5
692,10527,12
693,10527,4
694,10528,4
695,10529,5
696,10529,4
697,10530,5
698,10530,12
699,10530,4
700,10531,5
701,10532,5
702,10535,5
703,10536,5
704,10537,5
705,10538,5
706,10539,5
707,10539,12
708,10539,4
709,10541,5
710,10545,13
711,10545,5
712,10545,12
713,10545,4
714,10546,5
715,10546,4
716,10552,5
717,10552,4
718,10555,5
719,10555,4
720,10556,5
721,10556,4
722,10562,5
723,10562,4
724,10563,5
725,10565,13
726,10565,5
727,10565,12
728,10565,4
729,10566,5
730,10566,4
731,10567,5
732,10567,12
733,10567,4
734,10568,5
735,10570,5
736,10571,5
737,10571,4
738,10574,5
739,10574,4
740,10579,5
741,10579,12
742,10579,4
743,10582,13
744,10582,5
745,10582,12
746,10582,4
747,10585,5
748,10585,4
749,10586,5
750,10586,4
751,10588,13
752,10588,5
753,10588,12
754,10588,4
755,10591,5
756,10591,4
757,10592,4
758,10597,5
759,10597,4
760,10598,5
761,10598,4
762,10601,5
763,10601,4
764,10602,13
765,10602,5
766,10602,12
767,10602,17
768,10602,4
769,10603,13
770,10603,5
771,10603,12
772,10603,17
773,10603,4
774,10604,5
775,10604,12
776,10604,17
777,10604,4
778,10605,5
779,10606,5
780,10606,4
781,10609,13
782,10609,5
783,10609,12
784,10609,17
785,10609,4
786,10610,5
787,10610,12
788,10610,4
789,10613,13
790,10613,5
791,10613,12
792,10613,4
793,10614,5
794,10615,5
795,10615,4
796,10617,5
797,10617,12
798,10617,4
799,10618,5
800,10618,4
801,10623,5
802,10623,4
803,10629,5
804,10629,12
805,10629,4
806,10630,5
807,10630,12
808,10630,4
809,10632,5
810,10634,5
811,10634,12
812,10634,4
813,10637,5
814,10637,12
815,10637,4
816,10638,5
817,10638,4
818,10639,13
819,10639,5
820,10639,12
821,10639,4
822,10640,5
823,10641,5
824,10641,12
825,10641,4
826,10642,5
827,10642,4
828,10643,5
829,10643,4
830,10644,5
831,10644,12
832,10644,4
833,10645,5
834,10646,5
835,10647,5
836,10647,4
837,10651,5
838,10651,4
839,10652,5
840,10652,12
841,10653,5
842,10653,12
843,10654,5
844,10654,12
845,10654,4
846,10655,13
847,10655,5
848,10655,12
849,10655,4
850,10656,5
851,10656,12
852,10656,4
853,10657,5
854,10657,12
855,10657,4
856,10658,5
857,10658,17
858,10658,4
859,10659,5
860,10659,4
861,10660,5
862,10661,5
863,10661,4
864,10662,5
865,10662,12
866,10662,17
867,10662,4
868,10664,5
869,10664,4
870,10665,5
871,10665,12
872,10665,4
873,10666,5
874,10666,12
875,10666,4
876,10667,5
877,10667,4
878,10668,5
879,10669,5
880,10669,12
881,10670,4
882,10671,5
883,10671,12
884,10671,4
885,10672,5
886,10672,4
887,10673,5
888,10673,4
889,10674,13
890,10674,5
891,10674,12
892,10674,4
893,10676,5
894,10676,12
895,10676,4
896,10677,5
897,10679,5
898,10679,4
899,10681,5
900,10681,12
901,10681,17
902,10681,4
903,10682,5
904,10682,4
905,10684,5
906,10686,13
907,10686,5
908,10686,12
909,10686,17
910,10686,4
911,10687,13
912,10687,5
913,10687,12
914,10687,4
915,10688,12
916,10689,5
917,10690,5
918,10690,12
919,10690,4
920,10691,5
921,10691,4
922,10692,4
923,10693,13
924,10693,5
925,10693,12
926,10693,4
927,10694,5
928,10695,5
929,10695,4
930,10696,5
931,10696,4
932,10698,13
933,10698,5
934,10698,12
935,10698,17
936,10698,4
937,10700,13
938,10700,12
939,10700,17
940,10700,4
941,10702,5
942,10703,5
943,10703,4
944,10705,4
945,10706,5
946,10706,12
947,10706,4
948,10713,5
949,10722,5
950,10722,12
951,10722,4
952,10726,5
953,10726,4
954,10727,5
955,10727,12
956,10727,4
957,10728,13
958,10728,5
959,10728,12
960,10728,4
961,10729,5
962,10729,4
963,10731,5
964,10731,12
965,10731,4
966,10732,13
967,10732,5
968,10732,12
969,10732,17
970,10732,4
971,10733,5
972,10733,4
973,10734,13
974,10734,5
975,10734,12
976,10734,17
977,10734,4
978,10735,4
979,10736,12
980,10736,4
981,10738,13
982,10738,5
983,10738,17
984,10739,4
985,10740,5
986,10740,17
987,10740,4
988,10741,5
989,10745,5
990,10745,12
991,10745,4
992,10746,5
993,10748,5
994,10748,12
995,10748,4
996,10749,5
997,10749,12
998,10749,4
999,10750,12
1000,10755,5
1001,10755,12
1002,10755,4
1003,10756,5
1004,10756,12
1005,10756,4
1006,10757,5
1007,10758,5
1008,10758,12
1009,10758,4
1010,10759,5
1011,10759,12
1012,10759,4
1013,10761,5
1014,10761,4
1015,10763,13
1016,10763,5
1017,10763,12
1018,10763,17
1019,10763,4
1020,10764,5
1021,10764,4
1022,10765,13
1023,10765,5
1024,10765,12
1025,10765,17
1026,10765,4
1027,10766,5
1028,10766,4
1029,10767,5
1030,10770,5
1031,10770,4
1032,10771,5
1033,10773,5
1034,10773,4
1035,10774,5
1036,10774,4
1037,10775,5
1038,10778,5
1039,10778,12
1040,10778,4
1041,10779,5
1042,10779,12
1043,10779,4
1044,10780,5
1045,10780,12
1046,10780,4
1047,10781,5
1048,10781,4
1049,10782,5
1050,10783,5
1051,10783,12
1052,10785,5
1053,10785,12
1054,10785,4
1055,10786,5
1056,10788,5
1057,10788,4
1058,10791,5
1059,10791,12
1060,10791,4
1061,10793,5
1062,10793,12
1063,10793,4
1064,10794,5
1065,10794,4
1066,10796,5
1067,10798,5
1068,10798,12
1069,10798,17
1070,10798,4
1071,10799,5
1072,10802,5
1073,10803,5
1074,10803,12
1075,10803,4
1076,10804,5
1077,10804,4
1078,10805,5
1079,10806,13
1080,10806,5
1081,10806,4
1082,10808,13
1083,10808,12
1084,10808,17
1085,10808,4
1086,10809,5
1087,10809,12
1088,10809,4
1089,10810,5
1090,10810,12
1091,10811,5
1092,10811,12
1093,10811,4
1094,10813,5
1095,10814,5
1096,10814,4
1097,10815,5
1098,10816,5
1099,10816,4
1100,10817,5
1101,10817,12
1102,10817,4
1103,10819,13
1104,10819,5
1105,10819,12
1106,10819,17
1107,10819,4
1108,10820,5
1109,10820,12
1110,10820,4
1111,10821,5
1112,10821,12
1113,10821,17
1114,10821,4
1115,10822,5
1116,10822,12
1117,10822,17
1118,10822,4
1119,10823,12
1120,10825,13
1121,10825,5
1122,10825,12
1123,10825,17
1124,10825,4
1125,10827,5
1126,10827,4
1127,10828,5
1128,10828,4
1129,10829,13
1130,10829,5
1131,10829,12
1132,10829,4
1133,10830,5
1134,10830,12
1135,10830,4
1136,10831,5
1137,10831,4
1138,10833,5
1139,10833,12
1140,10833,4
1141,10835,5
1142,10836,5
1143,10836,4
1144,10837,5
1145,10837,4
1146,10839,5
1147,10839,4
1148,10840,5
1149,10840,12
1150,10840,4
1151,10841,5
1152,10841,4
1153,10842,5
1154,10842,4
1155,10843,5
1156,10843,4
1157,10849,5
1158,10849,4
1159,10851,5
1160,10851,12
1161,10851,4
1162,10852,5
1163,10852,12
1164,10852,4
1165,10853,5
1166,10853,4
1167,10855,5
1168,10855,12
1169,10855,4
1170,10856,5
1171,10856,12
1172,10856,4
1173,10857,5
1174,10857,4
1175,10858,5
1176,10858,17
1177,10858,4
1178,10859,5
1179,10859,12
1180,10859,4
1181,10862,5
1182,10862,12
1183,10862,4
1184,10863,5
1185,10863,4
1186,10865,4
1187,10869,13
1188,10869,5
1189,10869,12
1190,10869,4
1191,10870,5
1192,10870,12
1193,10870,4
1194,10871,5
1195,10871,12
1196,10871,4
1197,10872,4
1198,10873,5
1199,10873,4
1200,10874,5
1201,10874,12
1202,10874,4
1203,10875,5
1204,10875,12
1205,10875,4
1206,10877,5
1207,10877,12
1208,10877,17
1209,10877,4
1210,10878,13
1211,10878,4
1212,10880,5
1213,10880,4
1214,10881,5
1215,10881,4
1216,10883,4
1217,10884,5
1218,10884,4
1219,10887,13
1220,10887,5
1221,10887,12
1222,10887,17
1223,10887,4
1224,10890,13
1225,10890,5
1226,10890,12
1227,10890,17
1228,10890,4
1229,10891,5
1230,10891,12
1231,10891,17
1232,10891,4
1233,10892,5
1234,10892,4
1235,10893,5
1236,10893,12
1237,10893,17
1238,10893,4
1239,10894,5
1240,10894,4
1241,10895,13
1242,10895,5
1243,10895,12
1244,10895,4
1245,10903,13
1246,10903,5
1247,10903,12
1248,10903,17
1249,10903,4
1250,10905,13
1251,10905,5
1252,10905,12
1253,10905,4
1254,10909,5
1255,10909,4
1256,10910,5
1257,10910,4
1258,10911,5
1259,10911,4
1260,10912,12
1261,10912,4
1262,10913,5
1263,10913,4
1264,10914,4
1265,10915,5
1266,10915,4
1267,10916,13
1268,10916,5
1269,10916,12
1270,10916,17
