2,OPERATE,Operational,Operational,1,True,False
3,NOT OP,Not-Operational,Not-Operational,2,True,False
4,PENDING,Pending Opening,Pending Opening,3,True,False
5,UNKNOWN,Unknown,Unknown,5,True,False
